collect_time,GDY_1,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_23,GDY_24,GDY_25,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40,Decline_depth,Forward_inclination,Transverse_inclination,Bottom_Forward_offset,Bottom_Transverse_offset,Top_Forward_offset,Top_Transverse_offset
2023-08-03 16:20:00,7.107247,-1.177152,-4.144287500000001,17.533417,-19.2325,25.619932,,3.672671,29.6770985,31.888044,-2.230119,12.783439,6.586623,-8.122926,10.440162,-0.0773939999999999,-15.809738,-0.1467635,-13.815328,-9.617172,-20.2534945,1.548366,,,-19.846658,7.117609,-2.8494685000000004,13.341955,-2.2465495,0.620229,14.605664,-21.5636465,2.067132,9.4552355,13.691357,-9.955156,-6.362265,2.845738,0.0,-0.0006124999999999,-0.0010096666666666,-1.4206690788269043,0.2153549194335937,-1.3853323459625244,0.2367935180664062
2023-08-03 16:30:00,7.090932,-1.169048,-4.190759,17.533417,-19.236888,25.611784,,3.988495,29.737616000000003,31.872104,-2.238291,12.785627,6.5825135,-8.1430525,10.429862,-0.133661,-15.82556,-0.144648,-13.807166,-9.6073505,-20.27096,1.536247,-20.615112,-4.307409,-19.8685765,7.0892665,-2.8678475,13.348208,-2.2424665,0.616152,14.597621,-21.502727,1.970378,9.4874455,13.7381465,-10.115836,-6.337569,2.8296245,0.0111713409423828,-0.0002002040816325,-0.0003483809523809,-1.3952105045318604,0.2273483276367187,-1.3830180168151855,0.2343521118164062
2023-08-03 16:40:00,7.0786955,-1.160944,-4.196535000000001,17.5620035,-19.204463,25.717699,,3.921164,29.769892,31.840223,-2.217861,12.785627,6.5537455,-8.1511025,10.4441585,-0.18189,-15.8579345,-0.165109,-13.7990045,-9.5872295,-20.310626,1.5160485,-20.687678,,-19.8743855,7.0730710000000006,-2.8678475,13.344161,-2.238384,0.616152,14.589579,-21.4377465,1.922001,9.511603,13.772913,-10.208227,-6.391076,2.857823,-0.0097332000732421,-0.0002908095238094,-0.000175911111111,-1.3863956928253174,0.2221412658691406,-1.3802387714385986,0.2323188781738281
2023-08-03 16:50:00,7.0786955,-1.156892,-4.20633,17.705129499999998,-19.163933,25.823614,40.297745,4.037379,29.8304095,31.816313,-2.2382910000000003,12.769402,6.5414165,-8.1672035,10.4298625,-0.2095185,-15.8862625,-0.169201,-13.786762,-9.5630845,-20.3383915,1.4918105,,-4.323168,-19.894522,7.060924,-2.865627,13.311786,-2.266964,0.5957685,14.589579,-21.3849495,1.881686,9.5438135,13.789224,-10.384975,-6.391076,2.8537945,-0.0053253173828125,5.209183673469754e-05,4.804761904765087e-05,-1.3846683502197266,0.2371749877929687,-1.386350393295288,0.2353515625
2023-08-03 17:00:00,7.082774499999999,-1.156892,-4.232707,17.955028,-18.766734,25.579195,40.40973,3.88258,29.9433765,31.8043575,-2.205603,12.753178,6.5290875,-8.191355,10.4441585,-0.25599,-15.9267315,-0.1814775,-13.772381500000002,-9.5469875,-20.350291,1.475652,-20.75218,-4.315288,-19.9146585,7.056875,-2.869667,13.311786,-2.279213,0.579462,14.581537,-21.352459,1.817184,9.5800495,13.830002,-10.497451,-6.3622645,2.8819925,-0.0098915100097656,-9.142857142856136e-05,8.793650793653759e-05,-1.3762227296829224,0.2317848205566406,-1.3792996406555176,0.2349853515625
2023-08-03 17:10:00,7.058302,-1.156892,-4.234463999999999,18.046874,-18.750522,25.587342,40.48972,4.004557500000001,30.0644115,31.772477,-2.201517,12.749122,6.520868,-8.19538,10.4544585,-0.2898995,-15.971247,-0.199823,-13.782681,-9.524615,-20.3859895,1.455454,-26.722433,-4.307409,-19.9388225,7.040679,-2.869667,13.311786,-2.279213,0.579462,14.581537,-21.3240305,1.776869,9.616286,13.936024,-10.597876,-6.3252215,2.881993,0.0051918029785156,-0.0001395918367347,0.0002784444444444,-1.3674037456512451,0.2274322509765625,-1.3771491050720217,0.2323226928710937
2023-08-03 17:20:00,7.058301500000001,-1.15284,-4.26084,18.096474,-18.742416,25.636226,40.577709,4.2022455,30.19755,31.736611,-2.156571,12.732897,6.492100499999999,-8.2034305,10.4441585,-0.3341095,-16.003622,-0.220284,-13.75392,-9.514794,-20.413755,1.443335,-20.832809,-4.307409,-19.946877,7.016386000000001,-2.869667,13.311786,-2.279213,0.571308,14.577516,-21.2996625,1.752681,9.6686275,13.968646,-10.742488,-6.333453499999999,2.902134,0.0026111602783203,-5.678571428572151e-05,4.471428571430162e-05,-1.379776954650879,0.2299270629882812,-1.3813426494598389,0.2319183349609375
2023-08-03 17:30:00,7.055596166666667,-1.1593232,-4.269966166666666,17.966236733333336,-18.8666646,25.544433200000004,,4.3710846000000005,30.069790666666677,31.73847103333333,-2.1617466000000003,12.724098200000002,6.506215333333333,-8.214969833333333,10.434229466666665,-0.3852691666666666,-16.0057315,-0.2729832,-13.747325933333332,-9.559232766666666,-20.472046466666665,1.4398338333333338,,,-19.956454633333333,7.027793899999998,-2.8652632,13.331848966666664,-2.280975933333333,0.5824513000000001,14.566524766666666,-21.3627479,1.7704191999999996,9.6935905,,-10.596537,-6.346210733333334,2.8903179333333338,,,,,,,
2023-08-03 17:40:00,7.0568267,-1.1590530666666663,-4.2829443,18.002596966666665,-18.841558000000003,25.512930266666668,,4.435320200000001,30.10206673333334,31.719077033333328,-2.1508506,12.714238933333332,6.500461766666666,-8.227045566666668,10.430386899999998,-0.4348039333333334,-16.033201466666664,-0.2975270666666667,-13.738062933333334,-9.560992533333335,-20.51441163333333,1.4285228,,,-19.9733384,7.016603699999998,-2.8656537666666666,13.333075166666664,-2.2856032333333336,0.5745696000000001,14.562771699999995,-21.35462533333333,1.7499933333333328,9.7249954,,-10.636707,-6.344837400000001,2.896226133333333,,,,,,,
2023-08-03 17:50:00,7.0609055000000005,-1.1590530666666663,-4.292824333333333,18.03789233333333,-18.817780066666668,25.47762533333333,,4.4871913333333335,30.1286945,31.699948699999997,-2.1391373666666667,12.703963366666668,6.493334866666667,-8.240731366666667,10.426964566666664,-0.4529900333333334,-16.0636635,-0.3241216666666667,-13.728527933333332,-9.564748466666668,-20.563281033333336,1.4177503666666669,,,-19.989834866666666,7.006223299999999,-2.8653844666666664,13.333884499999998,-2.2895438666666665,0.5642418666666666,14.558214466666664,-21.3530008,1.7376302666666663,9.755863466666666,,-10.6600056,-6.342916700000001,2.9050884333333333,,,,,,,
